,UKESM1-0-LL-r1i1p1f2,IPSL-CM6A-LR-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,UKESM1-0-LL-r4i1p1f2,GFDL-ESM4-r1i1p1f1,CanESM5-r1i1p1f1
1996-05-01,11.564214986030832,10.69989320066016,12.530164226354124,10.533964339112913,12.595766051935966,11.801341118121398,11.549296447373912,10.721299826075887,11.015691917087047
1996-06-01,12.237577941546324,12.178317699806467,13.550846283780944,12.666458196214506,15.485713181626064,12.886188846875966,14.18828026446357,13.070361265917759,13.140551255272989
1996-07-01,13.712741184779894,14.481991080826793,14.74806843021083,15.027449573148472,16.777626775418266,14.266027624932752,15.851630113765278,14.630539270032367,14.507759913074436
1996-08-01,14.49780890952416,14.945080773022836,15.392081166506932,14.760629424995258,15.587667417185385,14.1988660627878,16.23756401772213,15.863520388883598,15.704272969629683
1996-09-01,14.725859424122053,13.697161808893444,14.918940411716425,15.008075869913792,14.897297750700504,14.813529313090653,15.301708120722651,14.063078419750305,15.660410308478458
1996-10-01,15.035651462492135,13.216639088119786,13.391131764631679,12.981881809893078,14.420976103077905,14.565549670046973,12.672196525233787,13.574077261919069,13.572674121194746
1996-11-01,11.29636825429816,10.056621510527243,11.955420255879671,12.04069771035793,11.857537160693948,12.442117920255434,12.11302946872034,11.294646544866266,11.685767992959354
1996-12-01,9.559999766628069,9.385184943763996,10.456908907250817,11.290914787734124,10.215597936900384,10.51496748881617,11.398306782587852,10.178228020994263,10.545354057899672
1997-01-01,9.43683468738568,8.355539694135363,8.945954740948721,10.83160870556189,8.946773305269968,9.039380043730713,10.808932320137194,9.54012581247691,9.995841146322151
1997-02-01,8.716194947050491,8.732524311948557,8.646476784988693,10.974032989735816,9.381751071390855,8.562921100979828,10.187444444422097,9.3025759890247,10.063177073099293
1997-03-01,8.40816215573073,9.32172823911822,9.370590651971805,11.142872654371779,9.466279148454754,8.20517104088663,9.580607272442801,8.808632686613597,10.133392888247279
1997-04-01,8.617165733989083,9.469872607087844,10.200868643821886,11.2913368860142,9.761535904685454,8.75377360141583,10.978750448577467,8.274683286388715,11.332624991274372
1997-05-01,9.7615122820276,9.83171413188232,11.959542517508714,12.232124492357592,11.148691429331805,10.168542524760516,12.594035705866474,10.922923224781606,11.86759622346095
1997-06-01,11.528195593796324,13.402633918431434,13.123452551105242,13.950206030857371,13.6872179857163,12.036236896253278,14.486643114519527,13.225776564889966,14.396801286113766
1997-07-01,13.69941506833912,15.371484239188604,14.38307801075311,16.015242886363446,14.794985854854627,12.768055818098789,14.772034227534569,15.145304970166967,14.907530072281425
1997-08-01,14.704072008115046,14.450433376467485,15.838952895046544,15.922381464386113,15.664921793480744,13.713403881149704,15.658120592086616,16.95269101390022,14.28927503944021
1997-09-01,14.18231022256264,15.19550758027901,14.444402936287904,15.34821285846823,15.10386911261153,13.925095216808904,14.90603529551869,15.438382493919724,14.44199545036698
1997-10-01,13.677603680420535,13.960275135966668,13.47289954317961,14.710655515052093,13.733297134845708,12.774530433872972,13.467438000425712,13.77358310482146,13.98557844676472
1997-11-01,10.965817527749824,11.928177806831947,11.568219749751856,11.828458066069436,12.380957824080458,9.683275516278119,11.709422560376153,11.943531748277893,11.91721197575632
1997-12-01,9.03232657005574,11.213599896310573,10.616589143146053,9.587191207465318,10.357856623564047,9.312315422326602,9.987852939635136,10.649796817759489,10.364226255572994
1998-01-01,8.675027876394768,10.531620810472486,10.310243757555098,8.851840910334662,9.287946284995613,8.86539322889337,9.683176578639907,9.97751871883873,9.928684155964767
1998-02-01,8.599324343241758,9.320914646232687,10.138626376530407,8.930341533472172,8.939470293943183,8.773039598229008,9.415895724158805,9.982420016846335,9.480619969450562
1998-03-01,8.688060000846995,9.19840796478181,9.477454253687384,9.356234641592463,8.870981785401344,8.242565984460986,9.298119080119198,10.303394348126416,10.81723160149124
1998-04-01,8.773683688379407,9.618476502186445,8.989419425788846,9.85360421380923,9.854606054488924,9.770585459733844,9.960792705900142,11.095163716519835,11.41142424581717
1998-05-01,12.757026553784804,11.206367965784967,11.135765875894926,12.107423341139967,11.444487438219445,12.228963522191279,11.224043559340537,13.550959443084176,12.729105463379765
1998-06-01,14.636135019143104,13.080208708264834,12.464650104986625,12.704301612498655,13.777149871913162,13.255290032068705,12.30301145593758,14.659810211165011,15.496826446007619
1998-07-01,15.333611656132641,14.004076335997816,13.767847399071094,14.446935149524426,15.580795247705442,15.323375954135075,13.783879360068125,14.72401652177582,16.265525221954434
1998-08-01,15.639677139220545,14.95736118992892,14.94254779650447,15.791737363685346,15.447980405171007,14.772900453495714,14.702663154702226,15.22812333421458,16.579927798406395
1998-09-01,14.068368837524268,14.420696892362932,14.387466214842688,16.202814280202535,14.877340163413448,12.900086150904698,13.52658509682323,14.64708169204975,15.18179959213158
1998-10-01,13.980374839787656,13.011735476642823,13.832877125908599,14.257833717422988,13.021665469455385,13.667826787272293,12.98619768237147,13.111086084971154,14.269555692993684
1998-11-01,12.287803244008966,11.121191095585942,11.730435583200336,12.301764316667395,11.411324845566178,11.70697841713732,11.991931796201827,11.085890916148713,11.976637636207233
1998-12-01,11.373188227894039,10.080355249752877,10.14231438072114,9.644128105327539,9.679686555711637,9.73583332437106,10.527849139443259,10.073440593101267,11.56445979126898
1999-01-01,10.671013024625406,8.686510646233847,9.821403866651671,8.902978065125007,8.989275810870057,8.689793604048669,10.341548433102982,9.59962504315442,11.109494735927555
1999-02-01,10.322430779931263,9.023247921807188,9.554592531316294,8.23005140405164,9.544569984511618,9.191234801722311,10.0310724173809,9.45156016925072,10.102451328538613
1999-03-01,9.289822439478877,9.370037439762877,9.055808805702176,8.894292870406229,10.225544958123717,9.123844978238324,9.87469020656785,10.462414616146887,9.849629752292554
1999-04-01,9.795002634849542,10.439270644483457,8.74432995819124,10.243337405095206,10.826752670563453,9.459947974808628,10.182163298905724,10.964806824100869,9.694272536251605
1999-05-01,11.280679738610823,12.000481251882427,11.415007490148867,12.060239585221467,12.309286137250247,11.836188899825187,10.798726146272992,12.676068866417387,10.507091432105897
1999-06-01,13.22980424435382,13.331056970615888,12.960315308027404,13.209722783485315,13.695220182601108,13.02329050374506,12.610661389450355,14.142756305079185,12.095374591517931
1999-07-01,13.74975920560665,15.980682021472704,14.164877657217527,15.131646154697025,14.422538129297507,15.221493494681413,14.212293686518624,15.619437091096506,13.537943239747102
1999-08-01,14.03197538698933,15.225124198294287,14.379175552916994,15.787235439821231,15.773131781919925,16.364435441302515,14.58159104783084,15.918588238147914,14.794497262768484
1999-09-01,13.190050600623724,16.051242300900142,14.025140794354146,16.46100986831297,14.933556214965535,15.457728509446776,14.707031709321535,15.425162206978495,14.769309145589224
1999-10-01,13.013611542513713,14.150742273748422,13.167601342318944,13.471785689454595,14.785190995984195,13.724295509159965,13.635600982443956,14.293351823845232,13.427475426658578
