,UKESM1-0-LL-r1i1p1f2,IPSL-CM6A-LR-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,UKESM1-0-LL-r4i1p1f2,GFDL-ESM4-r1i1p1f1,CanESM5-r1i1p1f1
2001-04-01,9.984314326077651,9.761805688090057,11.017976946774516,9.545244161675148,8.273365877785903,10.304051272763868,11.050579757826641,9.561067578775488,10.410578220836706
2001-05-01,10.939626787955072,10.901434670556831,11.816799966498346,11.226955299601364,11.421375922508672,12.650358744380396,12.163841187096144,10.58848980507069,11.944963340505202
2001-06-01,12.243663367517428,12.181508821440266,12.65690215563908,12.308583790958847,13.018257138868856,13.603536338040593,12.471246511699526,11.703721625237336,13.311755565199661
2001-07-01,12.392349302985414,12.122501764808016,12.933488820947002,10.851267870060036,12.856542677759151,13.794097822225456,12.117499731805253,11.96452156382582,13.597719826494306
2001-08-01,11.479484120015965,12.177821109482734,12.790523031495384,11.625089532112089,12.615440534301955,12.879632899995348,13.201972641978085,13.363002441594956,12.966865670666543
2001-09-01,13.002300752475447,12.323954552328155,11.783057432293873,12.450517092529322,12.507635086428492,13.37550855672056,13.232267817482645,14.484123825380307,12.635154795010477
2001-10-01,12.42048466713653,12.18820939192725,12.042359265184645,12.375882917216346,11.988252660494197,13.392864251307536,12.025643379952536,14.057444006122966,12.318712485862966
2001-11-01,11.102237736563085,10.745005652967356,11.655008211268106,11.068627506476787,10.836266556815165,11.028768349635145,11.804619649463776,11.953482934296927,11.32846001462323
2001-12-01,9.806195525727068,7.298915920165392,10.311029048008004,10.655711295787572,9.294170660758006,9.361493929891713,10.258836055898726,10.75314281843297,10.032793758385905
2002-01-01,8.972626397047557,7.779331489699137,9.427880387169312,9.961440341981847,9.178032918098616,9.439874530457676,10.447105446817556,10.723816248582072,8.929607102579135
2002-02-01,8.660059260005237,8.54443850301846,9.539488203341767,10.396059084507543,9.276771534202526,9.260691953144393,9.95638998641379,10.432342352648565,7.873209582308807
2002-03-01,9.567398403907887,8.884103238925253,8.83819595571572,10.837077551102018,9.796930686840293,10.535086686436689,9.41804087696307,9.415950971899393,7.367843248268922
2002-04-01,10.389399616063981,9.216492668188302,9.200574636585127,12.305805884797698,10.843301426572037,11.866369855463235,9.447058990719096,10.546660653935707,8.02238836705178
2002-05-01,10.954791032851697,11.365823194261866,8.995933202161973,13.056230503637455,12.96859165453636,12.913468796644224,10.962015897348332,11.025760728363677,9.830845462659568
2002-06-01,11.426983182590394,12.636987012021914,11.343595882693913,13.118642913678064,14.679785481308553,12.951764698894491,12.207762696554733,13.362459944877731,11.207311104748042
2002-07-01,12.568706892644995,12.1306529919179,11.657368028466804,13.862309027264473,13.853702295201408,13.132345029941561,12.13575199447103,13.347714853511407,11.165287006274887
2002-08-01,12.297072241008092,12.721558129906425,12.125944159987009,14.079660409713242,14.353371048274665,13.73817275480834,11.771451744319206,12.711227472783682,11.76553248953921
2002-09-01,12.744547482887686,12.106176023726945,11.876457673864827,14.284973039688664,13.352323545061822,14.167690939531115,12.893274691019672,11.841471790209837,11.67900423999521
2002-10-01,13.491021509555216,13.043164274307985,11.3612294236251,13.552380333746092,12.376339976090053,13.904226079698098,13.387847996973033,10.51330223586771,11.005041492272746
2002-11-01,12.031589584918144,11.144265507450765,10.515334898839956,12.279698162114306,11.783078128415768,12.285857828165012,11.445786566596981,9.869836638427069,10.21028579167083
2002-12-01,11.08503124394634,10.158991474790293,9.547236350113034,10.833662569979225,10.696044044111842,11.078222059924505,10.26098082378873,8.876039670102848,8.720619192694876
2003-01-01,10.101756492983958,9.794886727954866,9.58903582914994,10.15929233445293,10.57797508197846,11.09177398990608,10.193457994776155,9.254990336993982,6.562689413071392
2003-02-01,10.291943388742174,10.13872949446715,8.539492247000434,9.888073919902448,10.441055844522356,9.74215991369088,9.905585972007307,8.9528446082751,5.800556718127886
2003-03-01,9.933463077540024,10.57115322518995,8.752298044204402,10.141820281384764,10.650298211902529,9.11912460120096,10.764161870064099,9.399097138365098,5.734026242591618
2003-04-01,10.439880680096934,11.520022570464786,9.685553941834598,10.720118855048165,10.493894250441588,10.077783204871023,11.465803106276562,10.160402027045768,7.326523176749572
2003-05-01,10.84837417330132,11.865430682044995,11.458057194384926,12.087624369487422,11.6677795542312,10.456323140679023,12.510475676582027,11.511869868676035,10.137181481632604
2003-06-01,12.669175668993931,12.086584116556065,12.813974420547115,14.587037020812595,12.574947894103985,11.804504983935747,14.048163614992024,13.410183842693312,12.104559911611917
2003-07-01,13.1306614602666,12.257688260476609,12.453570761622275,14.456289427936163,12.772621622336118,12.669374795171533,14.438803420107467,14.172924226888266,12.498656962966487
2003-08-01,11.859918929250092,12.592996814263616,13.15084310249234,13.767095694860034,13.883696519091036,13.21615962937598,13.513065988985725,14.723953795946903,12.695282653651722
2003-09-01,12.44479084416243,13.968193172276886,12.555307905336235,13.604096140377926,13.569139851657267,12.350098172569108,13.811389298628347,13.345777068836476,12.260655770167155
2003-10-01,11.91502836625998,14.674909217590644,12.685066448346909,13.971630784390635,12.698457864155614,12.007141205892784,13.497811518408387,12.763059705338467,11.986604535512917
2003-11-01,11.035185008747208,12.602113066753788,11.849672620552544,11.627040869044047,11.758795496181936,11.315497315616696,12.013026050328405,11.236614782175325,11.200247851858805
2003-12-01,9.656233880910293,9.146606909697502,8.841409293689253,10.294540008837894,11.045369607074015,9.84973325251173,10.620655241887787,9.608756054433698,9.075984814221933
2004-01-01,9.291187321385443,9.611986216702764,9.025402080333503,9.517959059533958,10.477989688886844,8.656620933632885,10.923723686898636,9.405514385507766,8.881357359821957
2004-02-01,9.790272109661,9.055503615345016,9.828001091576613,8.179153890378888,10.143922345194838,8.134394364952447,10.873841271970797,9.774142569895591,8.944703599452582
