,UKESM1-0-LL-r1i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,IPSL-CM6A-LR-r1i1p1f1,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2
1997-11-01,1.8821982546554183,1.805562070977259,2.4700884165905936,2.337201490298713,2.301401175822751,2.4830336756683002
1997-12-01,2.578880362944736,2.5438297764274043,3.1667705248799107,2.9188200858857543,2.9980832841120684,3.3063164937451823
1998-01-01,3.38591318075232,3.3387704175663235,3.8779206059564046,3.7144017928062794,3.7261021387662323,3.8243357149202244
1998-02-01,3.727667366666953,3.671607589250241,4.219674791871038,4.026838041657982,4.067856324680866,3.7467277531768493
1998-03-01,3.6967176535223456,3.6741360989401017,4.188725078726431,4.04924275278638,4.036906611536259,3.7716550714381682
1998-04-01,3.3553587327141354,3.3658411985838415,3.847366157918221,3.680982282362035,3.695547690728049,3.4302961506299585
1998-05-01,2.653865194424325,2.762467163192128,3.145872619628411,3.2429996844331703,2.9940541524382387,2.7288026123401483
1998-06-01,2.2146238766473263,2.2947172311767297,2.7066313018514125,2.7465824450218164,2.55481283466124,2.2895612945631494
1998-07-01,1.9532942307988808,1.910313052900146,2.4288878008823542,2.3227852633085613,2.2770693336921823,2.011817793594091
1998-08-01,1.8315434924649872,1.6809473866379083,2.2600064773175315,2.392303339820995,2.1081880101273582,1.842936470029268
1998-09-01,2.017963654293468,1.6165481973359526,2.1664880514717684,2.343915186835288,2.014669584281596,1.7494180441835052
1998-10-01,1.7922956047546523,1.6386571317053606,2.0685913146174606,2.3406174200779657,1.916772847427288,1.6515213073291972
1998-11-01,2.2415526061790256,1.7818044782752431,2.3500154944977147,2.358119954140581,2.1981970273075424,1.919615930973648
1998-12-01,2.7441180367562854,2.5051691647998457,3.0466976027870314,2.8936057989447512,2.8948791355968595,2.6296275954987682
1999-01-01,4.0129349063337845,3.3216233460852447,3.8197835089157706,3.652254807200464,3.790426387940022,3.407226639771633
1999-02-01,4.681350107955847,3.6597141654742376,4.161537694830404,3.994008993115097,4.132180573854655,3.8995680766635648
1999-03-01,4.709757404799387,3.631802154844997,4.130587981685798,3.963059279970491,4.101230860710048,3.936351153047067
1999-04-01,3.905668529546683,3.2907611074476866,3.7892290608775867,3.621700359162281,3.759871939901839,3.4806821288416465
1999-05-01,2.97362094973341,2.594177665210981,3.0877355225877774,3.092322140427667,3.0583784016120283,2.6751786534436395
1999-06-01,2.3372160277850296,2.155964567748593,2.648494204810778,2.571935251625455,2.6191370838350294,2.184192434133559
1999-07-01,2.1786308440588336,1.8636741896329576,2.37075070384172,2.579731576022511,2.3413935828659707,1.9581938346975825
1999-08-01,1.8815143108500585,1.6992440490429122,2.201869380276897,2.267319688297738,2.1725122593011483,1.7893125111327597
1999-09-01,2.0861666850787146,1.614772019411799,2.1083509544311343,2.025807365365617,2.078993833455385,1.6957940852869964
1999-10-01,1.9624504151159925,1.50512655388358,2.0104542175768265,1.8429255158615199,1.9810970966010772,1.5978973484326886
1999-11-01,1.8645984330047665,1.7241025888270027,2.291878397457081,2.124349695741774,2.262521276481332,1.8793215283129434
1999-12-01,2.561280541294083,2.4806693203812524,2.9885605057463978,2.8210318040310907,2.959203384770649,2.5760036366022603
2000-01-01,3.3959186502939414,3.318849365692253,3.872313083972572,3.654627358446864,3.7798744093187344,3.6818639851805837
2000-02-01,3.737672836208575,3.6593055821947535,4.214067269887205,3.996381544361496,4.121628595233369,3.7970938700107433
2000-03-01,3.706723123063969,3.625885362788357,4.183117556742598,3.9654318312168897,4.090678882088762,4.018973585741892
2000-04-01,3.3291880870463664,3.665502596082607,3.841758635934388,3.6240729104086786,3.7493199612805497,3.655594068589579
2000-05-01,3.122482219720588,3.1582245416980808,3.1402650976445776,2.9225793721188684,3.04782642299074,2.917932896329161
2000-06-01,2.9222905224894387,2.8781150269991405,2.7010237798675782,2.483338054341869,2.608585105213741,2.280837427205664
2000-07-01,2.6243519759587017,2.278600279518284,2.4232802788985213,2.205594553372812,2.330841604244684,2.070835841310193
2000-08-01,2.5124203788592205,2.0275965025922207,2.5511595060237697,2.0367132298079884,2.16196028067986,2.0441793963950223
2000-09-01,1.9570510702704689,1.785570407773503,2.1608805294879345,1.943194803962225,2.0684418548340973,1.975186212956628
2000-10-01,1.5865893589549964,1.5213345644694682,2.062983792633627,1.8452980671079176,1.9705451179797893,2.1127841969531325
2000-11-01,1.8680135388352512,1.9918413940612767,2.3444079725138813,2.1267222469881726,2.251969297860044,2.189392900770761
2000-12-01,2.564695647124568,2.9083869289376825,3.0410900808031984,2.823404355277489,2.9486514061493607,2.717889797835509
2001-01-01,3.410993302014089,4.076809462147343,3.768420873571301,3.6625653123464073,3.774805240478123,3.4302940297319657
2001-02-01,3.7559843637131314,3.832214594826669,4.110175059485935,4.004319498261041,4.338657079580306,4.314026366528451
2001-03-01,3.721797774784116,3.583349643999663,4.079225346341328,3.9733697851164345,4.33598564012878,4.600455006550583
2001-04-01,3.3804388539759045,3.4319040599849537,3.7378664255331184,3.632010864308224,3.879839973041263,4.60216674583367
2001-05-01,2.678945315686095,2.53143074192125,3.0363728872433065,2.9305173260184136,3.110859924747807,3.8473647696314512
2001-06-01,2.2062848896773657,2.092105486850727,2.5971315694663084,2.491276008241415,2.668932214018812,3.3269363600830606
2001-07-01,2.312415192215791,1.822555848561056,2.31938806849725,2.213532507272357,2.2339885605079157,2.9679449310337254
2001-08-01,1.783197123824701,1.6623081212626796,2.150506744932428,2.0446511837075336,2.065107236943093,2.675021354192101
2001-09-01,1.6995607475294523,1.551977244428401,2.0569883190866642,1.9511327578617708,1.97158881109733,2.499965316756733
2001-10-01,1.662899366486294,1.4643782725134926,1.9590915822323565,1.853236021007463,1.8736920742430223,2.383015675608226
2001-11-01,2.166126320710466,1.7527688818763192,2.2405157621126115,2.1346602008877174,2.1551162541232767,2.403196964887974
2001-12-01,2.5581881590991165,2.4507352644226934,2.9371978704019286,2.831342309177034,2.8517983624125933,2.9906537368872326
2002-01-01,3.4459611609754752,3.2899738342994405,3.834709754348376,3.6874789388289497,3.713102442773524,3.80173289249027
2002-02-01,3.7877153468901086,3.6616156717729287,4.1764639402630115,4.029233124743583,4.0548566286881575,4.189682839014427
2002-03-01,3.7567656337455024,3.9692419263772285,4.145514227118404,3.998283411598978,4.023906915543551,4.085072243688484
2002-04-01,3.393636435299328,3.6984173818383503,3.8041553063101934,3.6569244907907663,3.68254799473534,3.369627294758242
2002-05-01,2.636449804759318,3.2771522397802126,3.1026617680203827,2.955430952500956,2.98105445644553,2.660622640317548
2002-06-01,2.2652887182520205,3.180122203576444,2.6634204502433843,2.5161896347239567,2.541813138668532,2.5040161639899043
2002-07-01,1.9555270089414327,2.992343303077228,2.3856769492743264,2.238446133754899,2.2640696376994733,2.29505037157351
2002-08-01,1.8184660566590896,3.0080649356165874,2.2167956257095027,2.069564810190076,2.2507196324373564,2.0767217551114157
2002-09-01,1.7326284538988233,2.771971869175013,2.12327719986374,1.9760463843443128,2.4686630932163625,1.6186790980259202
2002-10-01,1.6366318696365303,2.6315843196553823,2.0253804630094323,1.8781496474900048,2.360092989059163,1.8331964569691912
2002-11-01,1.9180560495167849,2.3483837784269297,2.3068046428896865,2.1595738273702603,2.473976260581856,1.8647655151868519
2002-12-01,2.614738157806101,3.114382538545851,3.0034867511790035,2.8562559356595765,2.8818794396041514,2.5614476234761687
2003-01-01,3.416291860188056,3.90195270237823,3.9342227574505664,3.5608189416242126,3.7268370809017366,3.370787714868118
2003-02-01,3.7580460461026894,4.34767826281536,4.275976943365198,3.902573127538845,4.0685912668163695,3.7125419007827514
2003-03-01,3.7270963329580815,4.473612302558707,4.245027230220592,3.8716234143942394,4.037641553671763,3.681592187638144
2003-04-01,3.385737412149872,4.271464878563962,3.9036683094123816,3.530264493586029,3.696282632863552,3.3402332668299337
2003-05-01,2.684243873860062,3.2379613553817337,3.2021747711225714,2.8287709552962186,2.9947890945737434,2.6387397285401235
2003-06-01,2.245002556083063,2.7869470489825794,2.762933453345573,2.38952963751922,2.555547776796744,2.199498410763125
2003-07-01,1.9672590551140048,2.771420107539185,2.485189952376515,2.111786136550162,2.2778042758276857,1.921754909794067
2003-08-01,1.7983777315491822,2.6941750906918034,2.316308628811692,1.9429048129853388,2.0085232613693003,1.7528735862292437
2003-09-01,1.7048593057034191,2.7489644988358046,2.2227902029659288,1.849386387139576,1.8961580442126382,1.6593551603834806
2003-10-01,1.6069625688491114,2.0594977786548463,2.124893466111621,1.7514896502852677,1.8097112824850576,1.5614584235291729
2003-11-01,1.896210780443064,1.9133544649495733,2.406317645991876,2.0329138301655223,2.187234934561331,1.8428826034094277
2003-12-01,2.585068857018683,2.5850723747296707,3.1029997542811927,2.7295959384548394,3.3141616850587363,2.5395647116987443
2004-01-01,3.403929393637371,3.3429517521741987,3.875881218972639,3.5445734728832075,4.502247321484665,3.3877176875673705
2004-02-01,3.775359560922061,3.6449096605391187,4.217635404887273,3.886327658797841,4.673152987507819,3.7294718734820047
2004-03-01,4.178755187786393,3.606085848546816,4.1866856917426665,3.855377945653234,4.504055047944035,3.6985221603373977
2004-04-01,4.087842366476332,3.2735075941902942,3.845326770934456,3.514019024845023,3.8481932671728902,3.357163239529187
2004-05-01,3.49879347676632,2.5802265834613025,3.1438332326446443,2.812525486555213,3.0250090720871565,2.655669701239377
2004-06-01,3.0506262699583035,2.1425517825618603,2.7045919148676463,2.373284168778215,2.8352114118197904,2.2164283834623784
2004-07-01,2.7300505445830394,1.8566945137577493,2.4268484138985884,2.142273624406739,2.2725861630440867,1.9386848824933203
2004-08-01,2.366609001390358,1.670537264446872,2.2579670903337647,2.138355075400372,2.1360624321894464,1.7698035589284968
2004-09-01,2.8088006939688843,1.5874074997263563,2.164448664488002,2.131099309571516,2.0744292108816733,1.676285133082734
2004-10-01,1.8969291862279352,1.4906178463809312,2.0665519276336943,1.972163589722496,1.919425756500855,1.5783883962284262
2004-11-01,1.8760242821786808,1.7800240759552075,2.3479761075139485,2.2587566664076726,2.2118419042988298,1.8598125761086808
2004-12-01,2.572706390467998,2.4652799532422294,3.0446582158032656,3.0667365140034697,2.908524012588147,2.5564946843979977
2005-01-01,3.4251859990406177,3.5466460993210442,3.8103631870693855,3.5053919749603635,3.7135803089954615,3.32978030069791
2005-02-01,3.785715465985627,3.8780195209524284,4.15211737298402,3.847146160874997,4.055334494910095,3.6715344866125434
2005-03-01,3.9696506811425833,3.60723913338142,4.121167659839414,3.816196447730391,4.024384781765488,3.6405847734679373
2005-04-01,3.4331481638327284,3.243317741697024,3.7798087390312016,3.47483752692218,3.6830258609572777,3.2992258526597262
2005-05-01,2.6931380127126228,2.5389852267447366,3.0783152007413923,2.7733439886323703,2.981532322667467,2.597732314369916
2005-06-01,2.2538966949356247,2.0980423019557866,2.6390738829643943,2.396993701306984,2.542291004890469,2.1584909965929175
2005-07-01,1.9761531939665669,1.8100878610986235,2.361330381995336,2.193349425975067,2.2645475039214102,1.8807474956238597
2005-08-01,1.7551000152448666,1.6502440510737957,2.1924490584305123,1.9947534242378016,2.0956661803565875,1.7118661720590362
2005-09-01,1.7137534445559803,1.5533389234662789,2.0989306325847497,1.9809451658752693,2.0101855740959955,1.6183477462132734
2005-10-01,1.6158567077016732,1.4725361552212166,2.001033895730442,1.9515255897296715,1.895124560817102,1.5204510093589656
2005-11-01,1.897280887581928,1.7411671044500994,2.2824580756106965,2.4050518706774326,2.185675197536772,1.9236183378967702
2005-12-01,2.593962995871244,2.431403751595034,2.979140183900013,2.8350599059167747,2.8823573058260883,2.527441238937016
2006-01-01,3.3632089740896305,3.2639081878041503,3.861095746774654,3.4334403025736555,3.828111159204119,4.132146982849904
2006-02-01,3.704963160004264,3.906428268198913,4.202849932689288,3.892672245130695,4.169865345118752,4.595082257175081
2006-03-01,3.674013446859656,3.7203793642322784,4.171900219544682,3.931237833819495,4.138915631974147,4.473676838653035
2006-04-01,3.332654526051446,3.2319854916673667,3.8305412987364704,3.39990676805269,3.7975567111659347,3.915810889417379
2006-05-01,2.6311609877616364,2.5310349314119738,3.1290477604466598,2.7013923162456615,3.096063172876125,3.137683425993803
2006-06-01,2.191919669984637,2.0901379937488884,2.6898064426696613,2.5327999117789552,2.6568218550991265,2.6527949655662515
2006-07-01,1.91417616901558,1.82287943498831,2.412062941700604,2.236003623124029,2.379078354130068,2.24937500834527
2006-08-01,1.7452948454507562,1.6518619929672178,2.2431816181357807,2.035176889285984,2.210197030565245,1.7194601382321675
2006-09-01,1.651776419604993,1.5535248682476428,2.1496631922900176,1.850379741447748,2.116678604719482,1.6342656179186221
2006-10-01,1.7183690971210241,1.4593494631947657,2.0517664554357093,1.7751331762246298,2.0187818678651746,1.8828870041454142
2006-11-01,1.9551256828387769,1.7423344941754646,2.333190635315964,2.1467195139514965,2.300206047745429,2.018185105287612
2006-12-01,2.531985970920257,2.435503432033203,3.029872743605281,2.6022172994042827,2.9968881560347462,2.514475169233886
2007-01-01,3.3697230193240015,3.2748184901279913,3.796717324268693,3.523160825239433,3.596565250037976,3.3585455461649314
2007-02-01,3.711477205238635,3.6218663636710224,4.138471510183326,3.9477928433227305,3.9383194359526095,3.7002997320795656
2007-03-01,3.6805274920940287,3.7035273755662654,4.1075217970387214,3.81587315164717,3.907369722808003,3.6693500189349586
2007-04-01,3.3391685712858177,3.5328600468108893,3.7661628762305086,3.5284489377100137,3.566010801999792,3.8500979761945033
2007-05-01,2.6376750329960075,3.188576069746824,3.0646693379407,2.8720146159810347,2.8645172637099816,3.3762894515198383
2007-06-01,2.1984337152190085,2.9338444199947045,2.6254280201637004,2.35187152113444,2.4252759459329827,2.965793332893502
2007-07-01,1.920690214249951,2.6838935262896464,2.347684519194642,2.0741280201653822,2.1475324449639253,2.713818729391216
2007-08-01,1.7518088906851272,2.2352218531868053,2.178803195629819,1.9052466966005592,1.9786511213991016,2.579343180117021
2007-09-01,1.6582904648393644,1.8403502183273817,2.085284769784056,1.811728270754796,1.8851326955533392,2.33582789727916
2007-10-01,1.5603937279850566,1.5193189674091758,1.987388032929748,1.7138315339004884,1.7872359586990312,1.8481608957504143
2007-11-01,1.8418179078653119,1.9799175560820887,2.2688122128100026,1.9952557137807432,2.0686601385792858,2.044350703399337
2007-12-01,2.5385000161546283,2.49900079576296,2.9654943210993188,2.6919378220700594,2.7653422468686024,2.5991525888774842
2008-01-01,3.3632754024749714,3.2686598133675298,3.786657269675736,3.6603850941025335,3.579039814541356,3.3388501004227646
2008-02-01,3.9574034351527945,3.6033480065849535,4.128411455590371,4.002139280017167,3.920794000455989,3.6806042863373976
