,UKESM1-0-LL-r1i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,IPSL-CM6A-LR-r1i1p1f1,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2
2004-09-01,2.7635896987025723,1.8142140081513023,2.113100297445828,2.082699951234713,2.0446044792905744,1.8785837403551024
2004-10-01,2.546209137322194,2.272195204880683,2.571081494175208,2.547845335503624,2.498387041333609,2.336564937084483
2004-11-01,4.025201850438007,3.9834622331693295,4.2466567480895545,4.057301278125544,4.144458599632536,4.01214019099883
2004-12-01,5.2891008382983875,5.21166944665541,5.510555735949935,5.466442764180536,5.408357587492915,5.276039178859211
2005-01-01,5.793637161790472,5.957976268173982,6.009819323783648,5.824972317390209,5.910054464575605,5.7808864942427025
2005-02-01,5.905961168829937,5.971862251047693,6.075417764123385,5.890570757729945,5.975652904915341,5.846484934582438
2005-03-01,6.030178960134572,5.734857133241242,6.025161478330733,5.840314471937293,5.92539661912269,5.796228648789787
2005-04-01,5.4959999848991545,5.36560411814931,5.657374067222536,5.472527060829097,5.557609208014493,5.42844123768159
2005-05-01,4.593173538878295,4.517585751798245,4.809355700871472,4.624508694478033,4.709590841663428,4.580422871330526
2005-06-01,3.6170218591538776,3.541434072073828,3.833204021147055,3.661210330464136,3.7334391619390113,3.604271191606109
2005-07-01,2.6839196172081445,2.6083318301280958,2.900101779201321,2.741931294547676,2.8003369199932786,2.671168949660376
2005-08-01,2.0723748620971443,1.9675975526372644,2.2593675017104906,2.1195377095646344,2.1596026425024477,2.0304346721695454
2005-09-01,1.8881809819116209,1.8125931948315719,2.1043631439047985,1.9943766135889835,2.0045982846967547,1.8754303143638529
2005-10-01,2.3461621786410016,2.2705743915609524,2.562344340634179,2.609876625490358,2.4873468417534266,2.3334115110932334
2005-11-01,4.021737432555349,3.9461496454753,4.237919594548527,4.271856003520444,4.138154735340483,4.028328251774612
