,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,GFDL-ESM4-r1i1p1f1,UKESM1-0-LL-r4i1p1f2
1993-11-01,10.808804831446867,9.785022209561657,10.628595870184293,10.714581028145414,11.611783412599962,10.409463178725485,10.712094628985053,9.937151723837466,11.031358153199934
1993-12-01,9.775961405298156,9.071414763961213,9.291238225852688,10.222137812692514,10.682642535709656,9.980739621427574,9.94242362005386,9.62176303460447,10.037050173451462
1994-01-01,8.930269340783257,8.25314947511929,9.140279658379301,9.947939398398534,9.747546125660962,9.848200897120144,10.152277912242534,9.871836443916633,9.355236125215127
1994-02-01,9.017138963005594,8.313322325022021,9.492143192164027,9.649207449226699,9.557324279807805,9.683012707446805,9.55101674086008,10.078325972712255,8.945824725929551
1994-03-01,9.22288354607716,8.387867378076367,9.580571544934553,9.829554451634694,9.394759924172966,9.567576025238713,10.007924734834152,9.981176983175759,8.887571644346357
1994-04-01,9.47392106272796,8.617001455221576,10.125817843596547,10.056228233524944,9.747136032363894,9.718747105953373,10.450503546707084,10.646023773251066,9.423523035543269
1994-05-01,9.386994495237461,8.692460806466805,10.569236425700176,10.06439147445565,9.718593932182944,9.684654003219034,10.290926655897106,10.811087940385807,9.447340500751315
1994-06-01,9.129751562667057,8.470297442035315,10.153826808733383,9.739190651151024,9.38196737016875,9.391668259465591,10.48527724541504,10.57879976779457,9.350720671397012
1994-07-01,8.433809746393804,7.8236533856569235,9.344515821608416,8.983279826477613,8.66860940203106,8.617617723102192,10.06074098707816,9.245469411132646,8.419557064885993
1994-08-01,7.992865470168418,7.427194413643535,8.778670508331375,8.501551570502572,8.224646045190509,8.135567460401006,9.181003445959302,8.595153696710799,7.813025080742036
1994-09-01,8.36064536748559,7.8082111824596705,9.025735604459424,8.649252507523716,8.513571701467693,8.365723556500367,9.447745681839276,8.944187817216038,8.118309417907604
1994-10-01,10.175515248237014,9.29538974616889,10.968109707440247,10.11775406307069,9.8095780492699,9.756669967909641,10.091148947079796,9.683059334493842,9.229607666593965
1994-11-01,11.162118149664092,10.158092217648996,11.15006528154604,10.476237087892981,10.96214996096094,10.430174097053412,10.81011440434412,10.677639288881311,9.910238462969213
1994-12-01,9.93305795658525,9.558890437447513,10.601786837664473,9.887534040050568,10.360026318072537,9.554910859091684,10.531388721977898,10.023601161146745,9.203647404004583
1995-01-01,9.357827223900381,9.170818980081053,10.183813024710084,9.724494947674428,9.7244763218071,9.072482121815565,9.980709189026026,9.267629343125057,8.8153254625634
1995-02-01,9.53718392268614,8.88667777730141,9.742634996446053,9.504646484199004,9.724685262895566,8.815316777762543,9.2561916342327,8.706012618369114,8.58814152469375
1995-03-01,9.426709366735622,8.6583504010148,9.540771790157981,8.187541082926197,9.691517029859655,8.696401557207343,8.690795272685401,8.79088775570726,8.462625537001653
1995-04-01,9.477490850805266,9.06287827227301,9.70026710844349,8.774373577163638,10.125177975332882,8.954594670987102,8.69641482571215,8.961269981522511,8.717891531793391
1995-05-01,9.323070328488047,8.897250775664059,9.840062964812523,8.804911369352636,10.047689997207202,8.871887259826591,8.58167935304003,8.99970114102457,8.570485313740436
1995-06-01,9.008994655899787,8.554596814158081,9.434901386887626,8.63154581916141,9.813619616430351,8.604504347082916,8.248558087465721,9.075419935158873,8.369589544645363
1995-07-01,8.287459204416274,8.044279543972326,8.564116231781947,8.12289705824261,8.771944033068872,8.024524711192733,7.674750556681608,8.425643312271736,7.877991476354543
1995-08-01,7.879134061159418,7.583020166106914,8.003510288638001,7.803609470129813,8.208908354088125,7.697699433322134,7.370114078472318,7.903911130320187,7.635459840503216
1995-09-01,8.276273730180257,7.946421158775803,8.31452300659413,8.265598668795556,8.603650531554944,8.245162521765527,7.757733300980881,7.961644383901827,8.046527671630795
