,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,GFDL-ESM4-r1i1p1f1,UKESM1-0-LL-r4i1p1f2
2005-01-01,10.060524768884466,9.992679583176141,9.338447763181533,8.657499051521066,9.077162798227203,9.884561624938193,10.340728680715056,10.382919928177392,11.123547751929395
2005-02-01,9.412581167894997,9.864107895281787,8.95902112612522,8.805380516928519,8.640327621976036,9.4508108306014,10.575835129925425,10.36963821624515,10.930197524057306
2005-03-01,8.87832773075961,9.405508511041946,8.524924014138408,8.630474978595673,8.03185800069769,8.829991813092043,10.249862173006258,9.68738720489508,10.602307007154273
2005-04-01,8.220065771054431,9.060063034711863,7.762315133272744,7.967685012324918,7.379683577286851,7.882519007518043,9.482082118883822,8.836839046854061,9.923947037514102
2005-05-01,7.518844551622489,8.423065380921019,7.007309165479013,7.2704194649516785,6.7862926347320816,7.186117067674947,8.718379370662609,7.975728690806048,9.13855133052445
2005-06-01,7.297897173717028,8.000086285629044,6.571777302761168,6.81269258381792,6.5082539919804745,6.900716456309098,8.280003751623513,7.713639785142468,8.540008784532262
2005-07-01,7.250079725597751,7.991868368287825,6.544506931635487,6.677269919225775,6.548433061360173,6.926260903306836,8.133069003490895,7.949032376781613,8.331599888321177
2005-08-01,7.499831604558451,8.067457293440947,6.5489850902429945,6.5411290377851525,6.816180135841043,6.94608249384201,7.9973020822512195,8.010695281018654,8.005291296831826
2005-09-01,7.695746156644888,7.8950178388030485,6.4949581612193015,6.780672788481628,6.969524664817728,7.07194361487893,7.720535083558388,7.6882233572953975,7.7839545476519545
2005-10-01,8.692787578607422,8.288874523636824,6.746514556990294,6.836639769309072,6.85984965038159,7.029717669216621,7.378965794126235,8.106755064929844,7.8575434801923985
2005-11-01,9.06825059957592,9.055430600692754,8.020264234510345,7.828678918954314,8.030322614284882,7.819269651830942,8.014875043699003,8.072924045510701,8.460309961439672
2005-12-01,9.829530217297805,10.24025711872276,8.431769822777571,8.500478247960613,9.556995243184767,9.181797908117641,8.755427522561114,9.500142679166744,9.526480287008281
2006-01-01,10.043478305205383,10.906176603264143,8.75364845142535,8.627273690744518,10.214672782363431,10.003572659387007,9.477500416785924,9.831420933762466,9.839434152677761
2006-02-01,10.56516616606032,10.721994631934548,8.542228861783132,8.67885057083339,9.643382080782587,10.077559864826496,9.315628108112477,9.2655634167342,9.72947349324102
2006-03-01,10.603105472156537,9.96022270993819,8.093941237339289,8.642307301402111,8.745308048870086,9.741870675465096,9.05955877604,9.001690685275001,8.927281030022419
2006-04-01,9.801248635385296,9.032085180781776,7.588119508459362,8.005244648403595,8.342249882650515,9.127523947965553,8.486884819518936,8.42193918466104,8.286936976196529
2006-05-01,8.856066316407917,8.33998117428566,6.941973691321692,6.833543325377708,7.625705808040168,8.326095350696592,7.895433232074951,7.973081727018467,7.516011972892199
2006-06-01,8.456360538789577,7.877445809530946,6.494105062917164,6.4422082094224775,7.064339090900687,8.015255387654753,7.669202894039558,7.775192026326651,7.308415509028013
2006-07-01,8.249084770192503,7.636908617889838,6.5147534321291065,6.249366486623567,6.973858242131687,7.830831036130903,7.643572183341893,7.29802083262523,7.440675371235918
2006-08-01,8.038840027005485,7.621266951539543,6.567441870830796,6.318341944335946,6.816762157899955,7.582753516515093,7.763010838185497,7.0623223089042755,7.66487989040269
2006-09-01,7.906557110750001,7.574623334647051,7.3418678032456075,6.8748675571647695,6.6661813205721225,7.31785962456767,7.73780367018913,6.751979700641713,7.6162874641134914
2006-10-01,8.438019348019276,7.861527300533607,7.862640586211074,7.192057777010982,7.2510585045669265,7.406122663089966,8.64593245217658,7.055487482490789,8.458691559217465
