,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-r1i1p1f1
2004-08-01,6.318980974436111,6.324131631356725,6.176996615173223,6.164677202019032,6.308516637491341,6.301311446306938
2004-09-01,6.27080494991732,6.275955606837933,6.1288205906544295,6.1165011775002425,6.26034061297255,6.253135421788147
2004-10-01,6.397436950758637,6.4025876076792505,6.255452591495748,6.243133178341558,6.3869726138138665,6.379767422629463
2004-11-01,6.476183556586584,6.481334213507197,6.334199197323692,6.321879784169506,6.465719219641813,6.458514028457412
2004-12-01,6.625043839659451,6.630194496580065,6.4830594803965615,6.470740067242375,6.614579502714681,6.607374311530279
2005-01-01,6.746785304839343,6.7193964939403426,6.632582791707102,6.60143221753866,6.713275968649727,6.72081193760652
2005-02-01,6.907634447822441,6.8802456369234415,6.793431934690203,6.762281360521759,6.874125111632825,6.972489144641874
2005-03-01,6.970558294608967,6.943169483709968,6.8563557814767275,6.825205207308287,6.9370489584193535,7.056104791122408
2005-04-01,6.997719725913048,6.97033091501405,6.883517212780808,6.8523666386123665,6.9642103897234335,7.145667598419104
2005-05-01,6.874029559064381,6.846640748165384,6.7627003380548345,6.728676471763697,6.8405202228747655,6.864262853591596
2005-06-01,6.611807409317003,6.584418598418004,6.497604896184763,6.46645432201632,6.578298073127387,6.585834042084179
2005-07-01,6.445246519184126,6.417857708285128,6.277356086493741,6.2998934318834445,6.411737182994512,6.431923849287198
2005-08-01,6.30865591274295,6.281267101843952,6.19445339961071,6.163302825442267,6.275146576553334,6.2987770770385625
2005-09-01,6.2604798882241575,6.233091077325161,6.14627737509192,6.115126800923478,6.226970552034542,6.301457186577012
2005-10-01,6.387111889065475,6.3597230781664775,6.272909375933236,6.241758801764793,6.353602552875858,6.361138521832652
2005-11-01,6.465858494893423,6.438469683994424,6.351655981761184,6.3205054075927425,6.432349158703808,6.4398851276606
2005-12-01,6.6147187779662895,6.5873299670672925,6.50051626483405,6.469365690665607,6.581209441776675,6.588745410733468
2006-01-01,6.729114598339982,6.707169386928239,6.628538241049084,6.654104790554039,6.749644364082651,6.703490396001984
