,UKESM1-0-LL-r1i1p1f2,IPSL-CM6A-LR-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,UKESM1-0-LL-r4i1p1f2,GFDL-ESM4-r1i1p1f1,CanESM5-r1i1p1f1
1994-09-01,13.839011438702919,12.268120355363331,11.923650064172266,11.081089002255561,11.124920676201887,12.549905641907088,11.354445775143395,12.299144579160721,11.543342873978947
1994-10-01,11.041219241363416,12.648520510725785,12.833605565440312,11.822906661347888,11.369258368160214,12.394845420963266,10.39985598048298,10.668824285097596,12.271513073293564
1994-11-01,10.344992472954903,11.285237411818802,10.832579725937233,9.856593036040227,10.086489381828093,10.984808721424255,8.988527099939262,10.048392620934061,10.025312406566353
1994-12-01,9.324591024485525,9.090600727043071,9.462336483816426,8.08672368965052,8.586137913704956,9.797942477936068,7.713722483441598,9.285700346791874,9.050626423943141
1995-01-01,8.447492754256357,8.423483558177093,8.562303455180794,7.64711996785642,8.15224380187816,9.267442048423248,7.789835632870936,8.101954645006654,9.358399844132272
1995-02-01,7.837007406724562,8.928780558569903,8.665303431903665,7.720213000810138,7.926919010087018,8.905010981450488,7.578903828590089,7.353172248277196,9.114721635576329
1995-03-01,7.654803608589432,8.891213163470796,9.227389951396756,7.927018204984576,8.194931811566974,9.29725539648988,8.489547758051451,8.57284731839303,7.788600163951562
1995-04-01,8.645870542281859,10.187097800242649,10.189703621219255,8.751149602127018,9.312856039271306,9.919706896204186,8.934552416076544,9.082089339119447,8.993037390813312
1995-05-01,10.325010851523382,10.745635049974478,11.37353682775372,10.519739178643826,10.020012818804533,11.42015106168959,10.368485114774023,10.459042386934684,11.507464050947544
1995-06-01,11.624574994726705,11.751567581170347,11.902024789969776,11.886522194613569,9.795957443200454,13.397502423445824,11.602882998377789,12.448593681384388,13.295674790791919
1995-07-01,10.97551764038259,12.888582404442179,10.436198594749264,10.037919314719307,10.72993335928882,12.203680069087374,10.689582022163796,10.881565082819652,11.7331932913532
1995-08-01,11.072454115553043,10.21137365677238,9.89167771631734,10.866285003855536,10.46604381047059,10.873223948113663,11.730457571924536,11.279796338965076,10.981770173849185
1995-09-01,11.44027550688844,10.697832672847747,10.060420352303598,11.221401693331773,11.289755219236731,12.601742216975849,11.268505347593816,10.935315044945511,11.296949328395058
