,ACCESS-ESM1-5_r2i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1
2018-10-01,2.0752912863749886,0.6043514781906971,2.5804617498027844,1.7216055586305918,0.35788804028350873,1.2219617210915732
2018-11-01,2.270281758626133,1.1028304781064655,2.893503595530168,2.2736841154890133,0.9612777183217598,1.7134551443780799
2018-12-01,2.7539074466766955,1.839436198964512,3.347524820508012,4.340239882877017,1.6551459282718726,2.3809880603137237
2019-01-01,3.498646679784536,2.1896623771479025,2.9555098822599573,4.790769652044872,2.2448492270367217,3.2903311444625807
2019-02-01,4.779838270474047,2.7763435188540613,3.9442003704026,3.4451785877852057,2.177817049685174,3.4344351728798785
2019-03-01,4.6339459082052645,2.747898535300513,3.644853249030549,3.2476152628404136,2.6965490810459887,3.160045456623178
2019-04-01,4.2863798225028695,2.403859475437905,3.0177497783676537,2.677958072753785,2.2589608691222858,2.6678951379014024
2019-05-01,3.5866741250523417,1.1657520633936491,2.3610526510762746,2.085139680516736,1.4750690115725182,2.2386742326865843
2019-06-01,2.974791705853706,0.5932099143398502,2.2360855765518632,1.4270075396985786,1.0474009220487008,2.0474309261950245
2019-07-01,2.69620387454874,0.2392544509485733,1.760540232759643,0.7549935957157068,0.37529169890041897,2.000330798494503
2019-08-01,2.613895087117818,0.09709703255049916,1.5207904809140296,0.5113131843356987,0.18800003825411507,2.1630650076540934
2019-09-01,2.3299119014999614,0.1121359161282988,1.410708968918857,0.5451700106851132,0.15977319384878305,1.6026161692994414
2019-10-01,1.9940071261456864,0.01600550811815419,1.7632202594999573,0.4259887550570232,0.06727273962481121,1.6009273315399417
2019-11-01,2.16183684929131,0.006669389992509989,2.5807950683536443,0.7549715586239083,0.4620618063507042,1.686433434540498
2019-12-01,2.8183371444663314,0.024195860927476016,3.965405851943032,1.9272532228353088,1.2105142593218639,2.435255169555622
2020-01-01,3.5877597519755207,2.2737555376072645,3.2835871973107422,3.459315381160758,2.372642048548437,3.0006997063463836
2020-02-01,3.936426845834326,3.1829051801714123,3.7647971964656985,4.314166713096415,2.776370497973543,3.2906100421721156
2020-03-01,3.9507704179684615,3.0699414886414886,4.040625170636139,3.4866510438798137,2.781796579040336,3.2497240104593854
2020-04-01,3.6153663064737263,2.832353803552349,4.155856003277852,3.2097456261291395,2.2189450353610223,2.600409822189045
2020-05-01,2.8604915277557903,1.855005122811612,3.3516825688594354,2.831786232810728,1.6302333635058746,1.8321685391405582
2020-06-01,2.4137966836219302,1.2830616619620572,2.6500811169790164,2.5099337458190214,0.8741667396119276,1.1520906283165946
2020-07-01,2.267793620545506,0.8668871351303279,2.0607532208541013,2.2072209121594617,0.3990667609868672,1.1552043081875825
2020-08-01,2.0855603422050093,0.6872926614445586,1.5587662261556314,1.7960924184684863,0.5045994021056326,0.9249978122728814
2020-09-01,1.9523822353117817,0.8211712143403652,1.268542487249887,1.4528018379045424,0.6480076914216084,0.9164932225356139
2020-10-01,1.8503726407601284,0.8706776113861171,1.1099707242167531,1.3652674978176025,0.3852599940563184,0.7921674006369784
2020-11-01,2.1185591695003905,1.988364322117069,1.5418285264845923,3.822548691177007,1.2899427398861958,0.2599284733107985
2020-12-01,3.4841948733895887,2.9412070396913563,2.9896663187701784,4.518466626782846,2.3645695985245148,0.690038060430949
