,CESM2-WACCM_r2i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,CanESM5-CanOE-r1i1p2f1,GFDL-ESM4-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1
2015-01-01,5.263558103038687,6.152767287663382,6.2157136887883215,5.50666569520818,5.714987397165867,5.5822720844473785,5.720492979621028,4.89171188153546,5.984990511605421
2015-02-01,5.223345581227751,5.76116860108899,6.035890222665819,5.24153742413858,5.3159376680432615,5.540158343742043,5.420247296094575,4.388002964151362,5.781540879182721
2015-03-01,4.841818189155048,5.720664879315332,5.994708644718663,5.11686514823846,5.250090762853233,5.365986889633726,5.2443508234464655,4.302201907296183,5.462787033670223
2015-04-01,4.806629918714456,5.684737663729786,5.7907227026768044,4.939429890682824,5.11218239504036,5.169865276971335,5.1902817181794525,4.373366603640957,5.297459801767754
2015-05-01,4.831799498589626,5.646529712905942,5.695301352764503,4.916658977496857,5.0801208004777685,5.1671266613078615,5.152117572937099,4.325084826671258,5.325697587196876
2015-06-01,5.1362384045472975,5.639615032937738,5.601164095016909,4.907815128916423,5.162053964900748,5.330652083993439,5.100295833333947,4.351704033583719,5.297681612151351
2015-07-01,5.306460075012327,5.821882130236468,5.6579127386607055,5.146193828872482,5.390862156693108,5.543716067269823,5.315292308577581,4.8463434316152805,5.5351133745328776
2015-08-01,5.652241993705652,6.020371569527756,5.792904692744052,5.4609487268031165,5.689961618138019,5.9570206080386665,5.602215927829807,5.121714377564982,5.8456875018553305
2015-09-01,5.575679624378839,6.088369217656922,5.8569365897747305,5.490340868307662,5.87237751481151,6.307530532847808,5.768983895161606,5.326236102224428,5.945981377595743
2015-10-01,5.4182303793476985,6.064018384218643,5.794791344957309,5.534176066878244,6.02270743886624,6.285109732259466,5.772651817151557,5.306035599239784,5.915735810704881
2015-11-01,5.387503883176863,6.0716609451489285,5.724196728310279,5.449439798425527,6.2613805788098285,5.7997693402686235,5.831419948304,5.361398551936096,5.862987354418672
2015-12-01,5.610224026729962,5.609714977079457,5.781275904743191,5.5313863153002965,6.2458353216129705,5.622894551462486,5.690788792648354,5.6565258336510125,5.791511281404775
