,CanESM5-CanOE_r2i1p2f1,CESM2-WACCM-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-CanOE-r1i1p2f1,CESM2-WACCM-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1,GFDL-ESM4-r1i1p1f1
2019-12-01,5.8493055748009954,6.1837665174193015,5.887980314896911,5.3946741241754035,6.20590446898847,5.713278764337553,6.005357334242404,5.885063464741242,5.988019310639295
2020-01-01,5.835698374823668,6.015668126014675,5.2989599497812385,5.353486799026652,5.783829840695634,5.7945919046729495,6.0981435225958425,5.9286275140845355,5.830982465802301
2020-02-01,5.509791666193944,5.6209772100222715,5.207538365924025,5.012310346469231,5.4952793678892204,5.6036944673148845,5.679017952769726,5.668849747342656,5.143199214134096
2020-03-01,5.176857984248457,5.469152281966032,4.714091749496972,4.897271265316029,5.358202770007508,5.608346624608961,5.34981626043782,5.536167891628707,4.907550027594885
2020-04-01,5.024458050765767,5.218687363647821,4.7800788086752775,4.612481316500833,5.224334865999081,5.5396752692178834,5.2024309780181,5.519578239175567,4.550945529716316
2020-05-01,4.983113638492896,5.261863717557728,4.767839150654419,4.536975890886094,5.109562951440996,5.495110578293352,5.177706485840441,5.4692377428401135,4.548600716148502
2020-06-01,4.990743690991348,5.447374346161301,4.8627167094767145,4.6456013039134625,5.187735648506571,5.5155457184368295,5.323991156588955,5.392904889505107,4.632196527503103
2020-07-01,5.331280485152961,5.673161702355918,4.986695882801984,4.824493887223866,5.365361894109737,5.668784452952759,5.564205709978036,5.622557987305153,5.090992286465746
2020-08-01,5.656882188050068,5.810441525415072,5.441108548300687,4.960512151199005,5.597443749319887,5.9031143131692,5.868206917432041,6.048755186023468,5.443520849418332
2020-09-01,5.8595905191572735,6.017181523100955,5.558307370020436,5.320441344200349,5.740798766916437,6.022959460048865,5.971031836652916,6.192960626936477,5.448495115681236
2020-10-01,5.763424845243413,5.874904479128232,5.606326036741789,5.285068949545049,5.811082059199863,5.991862436221073,5.7779313193982365,6.165107577439468,5.583454508879058
2020-11-01,5.623156568502114,5.732937521902244,5.5665447987047445,5.204484609971809,5.913009947709153,6.216224601054815,5.970608082286526,6.155462017561378,5.475225243196562
2020-12-01,5.388646959483467,5.738095483092251,5.7899484011026585,4.989427587251257,4.850143537162907,6.393137391760558,5.881853743388665,6.2712464345991785,5.2788208846260085
