,CanESM5-CanOE_r1i1p2f1,ACCESS-ESM1-5-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r1i1p1f2
2017-02-01,6.802630435292341,6.511840682344266,6.870390365336863,7.253667202367986,6.468951499458023,7.119429418730005
2017-03-01,6.885434811328945,6.568491337717701,7.312078661779838,7.2832754167799925,6.702172752175484,6.996754808594998
2017-04-01,7.087443863271552,6.60761209325312,6.992273491142888,7.0972319318874835,6.941704391862798,6.934928279030952
2017-05-01,7.014586508674859,6.518445983292136,6.6962569740024325,6.719416961465008,6.860711055777311,6.699770683880931
2017-06-01,6.7526061237732575,6.3522619020061635,6.494479658580529,6.5504426169893,6.428331503217796,6.60426408796251
2017-07-01,6.8158301493987725,6.2412568636292605,6.555731346589536,6.5236575338299225,6.2950124472571645,6.454320840948913
2017-08-01,6.646701279482714,6.264060388988527,6.3836238917755335,6.440974205988676,6.2537022463621375,6.324839211762033
2017-09-01,6.244538586659349,6.2435354244522205,6.1233956607499245,6.295244766357567,6.2391886813053015,6.356596291254247
2017-10-01,6.101602124064943,6.136885867609446,6.150052362856528,6.24611949823724,6.1281356859762095,6.27591025920334
2017-11-01,6.334608418973353,6.273136907000875,6.196523741821225,6.409475114297424,6.011414452494562,6.37185135098615
2017-12-01,6.445133879360029,6.589188845625893,6.1874784649653565,6.599460221923128,6.209149242050158,6.562374282713724
2018-01-01,6.738470437127041,6.675614889791645,6.317608128088063,6.530529979210754,6.38175871711163,6.567700370094688
2018-02-01,6.930967910280843,6.811121383203285,6.763408428159312,6.886723768203711,6.584611441112759,6.699273766740769
2018-03-01,7.0613274483432065,6.711643340214333,7.027688523922732,7.053281837154063,6.688311016301014,6.98399182058713
2018-04-01,7.034840626807622,6.60571799858262,6.803873941226058,7.04757769464158,6.785445357317072,7.088419624038468
2018-05-01,6.943290677808317,6.395307058375471,6.746948098773456,6.80322247544016,6.701408704116084,6.869599327746458
2018-06-01,6.840313431187752,6.362468967934282,6.444513107726129,6.7520635260943545,6.426892730141258,6.717919934245197
2018-07-01,6.770611886809324,6.196339433748424,6.2973249778001605,6.384001191765425,6.30805198938275,6.495818026764814
2018-08-01,6.575831185469212,6.3187363132509535,6.202817680722276,6.258731220624535,6.253684501336775,6.486090090127281
2018-09-01,6.290953545699144,6.240520256802777,6.207513497394367,6.163255889796784,6.081904561890974,6.355523743533636
2018-10-01,6.131161304892062,6.093717522883727,6.110835151771528,6.192135811842271,6.027546453923872,6.259040071196955
2018-11-01,6.275337398007535,6.233812352113768,6.3518212439842765,6.143374429935283,6.109996431392594,6.389330134640564
2018-12-01,6.5036345566940135,6.543744698706763,6.5642441654041255,6.2811423123174155,6.178231702450431,6.421003941343939
2019-01-01,6.686416562337643,6.601888908300191,6.7298946004302085,6.639931346145048,6.328098718144353,6.587574095559423
2019-02-01,6.871998454930758,6.832168275919732,6.8135672033479775,6.939470061651679,6.3987508789632805,6.658431260270235
2019-03-01,6.9883254775725625,6.790019003597879,6.8754317701250764,7.0359618303546405,6.623494150984646,6.783655110783597
2019-04-01,7.023681882833582,6.8622439691166965,6.602722358649326,7.043245894922219,6.716768666224795,6.604742085447806
2019-05-01,6.931032488947607,6.359444531477068,6.6483343959087415,6.868307300347532,6.41083166912107,6.466654607954448
2019-06-01,6.6647664090975525,6.284132876931271,6.29103602054251,6.772347740883175,6.247829711197902,6.208441958940234
2019-07-01,6.464326880852574,6.206982123613456,6.1396380806438975,6.5950210193395495,6.039261972956531,6.280179896186057
2019-08-01,6.368054995684272,6.162073230527773,6.080787509212548,6.509052065547359,6.1357041866488515,6.260466613922026
2019-09-01,6.149974292241305,6.214166097318759,6.113815934244298,6.656496692034081,6.306342135154108,6.155312716955458
2019-10-01,6.1617536127202674,6.07396447280473,5.9964230053622005,6.405941097060689,6.1505811240246775,6.213691184606937
2019-11-01,6.156130108016398,6.188369208703323,6.22897987228288,6.508061982313262,6.288618167237598,6.118503360328031
2019-12-01,6.2770872308231125,6.086752221677131,6.481172900741685,6.8549283423866525,6.434134323368185,6.475239250132788
2020-01-01,6.529176541536215,6.28912160792166,6.7803802894700125,7.008486239757178,6.55096876782584,6.300791300289516
2020-02-01,6.822765337173762,6.461812168387379,6.912577477134353,7.171412095441638,6.836341416946205,6.679846838797127
2020-03-01,6.84389972954582,6.456408616064078,6.900246038988626,7.204460252937374,6.932537894184944,6.905996069139187
2020-04-01,6.801173754006259,6.644495331049657,6.817152984237096,7.283904580865822,7.048455306807691,6.9591792884032255
2020-05-01,6.707790694821544,6.110846940494317,6.8906246219588425,7.056278946499691,6.916055345671165,6.698439146530604
2020-06-01,6.517775690919822,6.012035974341153,6.918576335755558,6.855162345492022,6.3811887060877135,6.643605692125206
2020-07-01,6.314959300571799,5.892869228281232,6.723624121373888,6.5950077209231655,6.1282990039116205,6.491162349404981
2020-08-01,6.198595078683812,6.033543702319935,6.607429876694294,6.609831795931924,6.0843580691917625,6.378638473715951
2020-09-01,6.068274575076705,5.907523753975457,6.3849417409199125,6.470446237599232,6.095955757428047,6.564207721539278
2020-10-01,5.9921967596964585,5.9120450984777495,6.222667772924483,6.297475508492862,6.238771643291602,6.296276778676082
2020-11-01,6.058357483317938,5.969534780745249,6.470352429215925,6.422572709216182,6.363131394130589,6.099609615113994
2020-12-01,6.215449559201352,6.094845486559263,6.566751272513706,6.469037922558976,6.4701272693437195,6.671035353218268
